,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
435,3BM-20001,TG120255002Z8W,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,38:06.6,1508202-01-H,26:58.0
436,3BM-20001,TG120255002Z1G,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,38:25.9,1508203-01-H,23:19.0
437,3BM-20001,TG120255002Y76,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,38:36.3,1508204-01-H,11:22.0
438,3BM-20001,TG120255002P7L,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,38:51.1,1508243-01-H,33:42.0
439,3BM-20001,TG120255002KER,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,38:52.9,1508242-01-H,39:15.0
440,3BM-20001,TG120255002PBX,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,38:53.6,1508243-01-H,35:13.0
441,3BM-20001,TG120255002NDH,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,39:00.1,1508244-01-H,21:43.0
442,3BM-20001,TG120255002PEV,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,39:03.1,1508243-01-H,36:35.0
443,3BM-20001,TG120255002KL8,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,39:17.3,1508242-01-H,41:48.0
444,3BM-20001,TG120255002P4L,NMAMC-LINE-01,,ignition-gf1-bm-tag7-prod,tag7-,ACTA1,NMAMC-LINE-01,39:18.6,1508243-01-H,32:12.0
445,3BM-20001,TG120255002YBK,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,42:18.2,1508203-01-H,13:16.0
446,3BM-20001,TG120255002ZYB,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,42:28.6,1508202-01-H,36:52.0
447,3BM-20001,TG1202550030F9,3BM2-26400-01,,ignition-gf1-bm-tag8-prod,tag8-,ACTA2,3BM2-26400-01,42:48.2,1508203-01-H,45:26.0
448,3BM-29500,TG120255002ZCG,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,43:26.6,1093905-01-H,28:39.0
449,3BM-29500,TG120255002ZBE,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,44:17.8,1091594-01-H,28:07.0
450,3BM-29500,TG120255002XY8,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,44:28.2,1093906-01-H,07:23.0
451,3BM-29500,TG120255002WYG,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,45:47.6,1091594-01-H,50:44.0
452,3BM-29500,TG120255002ZZG,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,46:03.9,1093905-01-H,37:17.0
453,3BM-29500,TG120255002ZKX,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,47:17.6,1091594-01-H,32:02.0
454,3BM-29500,TG120255002XYH,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,47:18.7,1093906-01-H,07:25.0
455,3BM-29500,TG120255002Z2L,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,48:38.4,1093906-01-H,23:54.0
456,3BM-29500,TG120255002ZKY,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,48:47.7,1091594-01-H,32:02.0
457,3BM-29500,TG120255002Z31,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,50:04.3,1093906-01-H,24:03.0
458,3BM-29500,TG120255002ZKV,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,50:17.3,1091594-01-H,32:02.0
459,3BM-29500,TG120255002ZCH,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,50:31.2,1093905-01-H,28:39.0
460,3BM-29500,TG120255002Z2G,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,51:23.9,1093906-01-H,23:49.0
461,3BM-29500,TG120255002ZKW,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,51:46.4,1091594-01-H,32:02.0
462,3BM-29500,TG120255002ZZH,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,52:20.4,1093905-01-H,37:17.0
463,3BM-29500,TG120255002WN0,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,52:42.9,1093906-01-H,46:13.0
464,3BM-29500,TG12025500305X,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,53:42.4,1093905-01-H,40:13.0
465,3BM-29500,TG1202550030BS,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,54:39.5,1091594-01-H,43:18.0
466,3BM-29500,TG12025500305V,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,55:04.3,1093905-01-H,40:13.0
467,3BM-29500,TG120255002ZK2,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,55:38.9,1093906-01-H,31:38.0
468,3BM-29500,TG120255003061,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,56:26.1,1093905-01-H,40:14.0
469,3BM-29500,TG120255002ZN2,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,56:59.8,1093906-01-H,32:55.0
470,3BM-29500,TG12025500305Z,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,57:48.0,1093905-01-H,40:14.0
471,3BM-29500,TG1202550030JF,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,58:55.7,1093906-01-H,47:12.0
472,3BM-29500,TG1202550030BM,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,58:57.5,1091594-01-H,43:17.0
473,3BM-29500,TG1202550030N6,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,59:10.3,1093905-01-H,49:07.0
474,3BM-29500,TG1202550030JG,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,00:36.6,1093906-01-H,47:12.0
475,3BM-29500,TG120255002ZL8,3BM1-29500-01,LINE1,NMAMC-LINE-01,,,3BM1-29500-01,02:10.0,1091594-01-H,32:04.0
476,3BM-29500,TG1202550030JL,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,02:19.1,1093906-01-H,47:15.0
477,3BM-29500,TG12025500305W,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,02:56.3,1093905-01-H,40:13.0
478,3BM-29500,TG1202550030BN,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,03:39.8,1091594-01-H,43:17.0
479,3BM-29500,TG1202550030JM,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,04:49.7,1093906-01-H,47:15.0
480,3BM-29500,TG1202550030BR,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,05:10.7,1091594-01-H,43:18.0
481,3BM-29500,TG120255003060,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,05:47.5,1093905-01-H,40:14.0
482,3BM-29500,TG1202550030S1,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,06:09.1,1093906-01-H,50:33.0
483,3BM-29500,TG120255002W9N,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,06:40.5,1091594-01-H,40:01.0
484,3BM-29500,TG1202550030SF,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,07:36.1,1093906-01-H,50:49.0
485,3BM-29500,TG1202550030NZ,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,07:41.9,1093905-01-H,49:29.0
486,3BM-29500,TG1202550030BW,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,08:10.3,1091594-01-H,43:18.0
487,3BM-29500,TG120255002ZZJ,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,09:03.7,1093905-01-H,37:17.0
488,3BM-29500,TG1202550030WM,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,09:20.7,1093906-01-H,52:55.0
489,3BM-29500,TG12025500305Y,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,10:25.6,1093905-01-H,40:13.0
490,3BM-29500,TG1202550030YE,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,11:03.9,1093906-01-H,54:06.0
491,3BM-29500,TG1202550030NX,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,11:47.1,1093905-01-H,49:29.0
492,3BM-29500,TG12025500318F,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,12:15.6,1091594-01-H,59:32.0
493,3BM-29500,TG1202550030NV,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,13:09.3,1093905-01-H,49:29.0
