,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
555,3BM-40001,TG120255002TDM,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,55:14.0,1093905-01-H,14:30.0
556,3BM-40001,TG120255002S4G,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,55:25.2,1093905-01-H,53:49.0
557,3BM-40001,TG120255002PAH,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,56:07.6,1091594-01-H,34:48.0
558,3BM-40001,TG120255002S1Y,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,56:37.2,1093905-01-H,52:49.0
559,3BM-40001,TG120255002TJZ,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,56:57.0,1093905-01-H,17:30.0
560,3BM-40001,TG120255002PAJ,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,57:20.0,1091594-01-H,34:49.0
561,3BM-40001,TG120255002S4Z,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,58:06.4,1093905-01-H,54:12.0
562,3BM-40001,TG120255002P8G,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,58:35.7,1091594-01-H,33:58.0
563,3BM-40001,TG120255002TDR,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,59:26.1,1093905-01-H,14:31.0
564,3BM-40001,TG120255002T0B,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,59:30.7,1093905-01-H,06:59.0
565,3BM-40001,TG120255002LL9,memunoz,,memunoz,,,memunoz,59:49.6,1093906-01-H,56:09.0
566,3BM-40001,TG120255002TJY,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,00:43.6,1093905-01-H,17:29.0
